71960421000102-ESTAMPARIA DE METAIS RQM - PRODUTOS CADASTRADOS - 20/07/2026-14:46:21;;;;;;;;;;
CÓDIGO;CÓD BARRAS;DESCRIÇÃO;GRUPO;MARCA;CÓD FAB;OBS;TIPO;SITUAÇÃO;;
;;;;;;;TODOS;ATIVO;;
CÓDIGO;CÓD BARRAS;DESCRIÇÃO;;NCM;UNIDADE;CUSTO;PREÇO 1;PREÇO 2;QTDE ATUAL;INCLUSÃO
1;;TUBO QUA 15 X 15 P 0,95 GALV - 2,60;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;23,14;31,24;32,4;0;15/04/2025
2;;TUBO QUA 15 X 15 P 1,11 GALV - 3,13 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;26,7;36,05;37,38;102;15/04/2025
4;;TUBO QUA 20 X 20 P 0,80 GALV - 3,00 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;26,4;34,32;35,64;152;15/04/2025
5;;TUBO QUA 20 X 20 P 1,11 GALV - 3,9 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;35,2;45,76;47,52;138;15/04/2025
7;;TUBO QUA 25 X 25 P 0,90 - 4,50 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;39,6;41,82;41,82;80;15/04/2025
8;;TUBO QUA 25 X 25 P 1,11 GALV - 5,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;44,88;58,34;60,59;149,5;15/04/2025
9;;TUBO QUA 25 X 25 P 1,25 GALV - 5,60;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;49,28;64,06;66,53;0;15/04/2025
10;;TUBO QUA 30 X 30 P 1 MM GALV - 5,49 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;48,5;63,05;63,05;116;15/04/2025
11;;TUBO QUA 30 X 30 P 1,11 GALV - 6,2 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;53,68;69,78;72,47;104;15/04/2025
12;;TUBO QUA 30 X 30 P 1,25 GALV - 6,6;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;59,84;77,79;80,78;0;15/04/2025
13;;TUBO QUA 40 X 40 P 0,95 GALV - 7,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;62,48;84,35;87,47;15;15/04/2025
14;;TUBO QUA 40 X 40 P 1,11 GALV - 8,40;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;73,92;99,79;103,49;0;15/04/2025
15;;TUBO QUA 40 X 40 P 1,25 GALV - 9,20 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;81,84;110,48;114,58;143;15/04/2025
17;;TUBO QUA 50 X 50 P 1,11 GALV - 10,30;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;90,64;122,36;126,9;50,5;15/04/2025
18;;TUBO QUA 50 X 50 P 1,25 GALV - 11,50 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;101,2;136,62;141,68;39,5;15/04/2025
22;;TUBO QUA 20 X 20 P 0,95 GALV - 3,4 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;30,8;40,04;41,58;247;15/04/2025
23;;TUBO QUA 60 X 60 P 1,25 GALV - 14,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;123,2;166,32;172,48;0;15/04/2025
25;;TUBO QUA 80 X 80 P 1,11 GALV - 16,70 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;145,2;196,02;203,28;35,5;15/04/2025
26;;TUBO QUA 80 X 80 P 1,25 GALV - 18,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;158,4;213,84;221,76;0;15/04/2025
28;;TUBO RET 40 X 20 P 0,95 GALV - 5,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;44;57,2;59,4;0;15/04/2025
29;;TUBO RET 30 X 20 P 0,80 GALV - 3,80;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;32,56;42,33;43,96;0;15/04/2025
30;;TUBO RET 30 X 20 P 1,11 GALV - 5,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;44,88;58,34;60,59;196;15/04/2025
32;;TUBO RET 50 X 20 P 1,25 GALV - 8,1;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;71,28;96,23;99,79;0;15/04/2025
33;;TUBO RET 40 X 30 P 0,95 GALV - 6,20;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;54,56;70,93;73,66;0;15/04/2025
34;;TUBO RET 40 X 20 P 1,25 GALV - 6,9;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;58,96;76,65;79,6;0;15/04/2025
36;;TUBO RET 40 X 30 P 1,11 GALV - 7,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;62,48;81,22;84,35;42;15/04/2025
37;;ROLDANA 1 1/2 - V;ROLDANAS;8302.20.00;UN;10,06;15,09;15,09;31;15/04/2025
40;;TUBO RET 50 X 20 P 1,11 GALV - 7,2 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;65,12;84,66;87,91;285,5;15/04/2025
43;;TUBO RET 50 X 30 P 0,95 GALV - 7,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;61,6;80,08;83,16;0;15/04/2025
44;;TUBO RET 50 X 30 P 1,11 GALV - 8 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;73,04;94,95;98,6;77,5;15/04/2025
45;;ROLDANA 2 - V;ROLDANAS;8302.20.00;UN;14,82;22,23;22,23;24;15/04/2025
46;;TUBO RET 50 X 30 P 1,25 GALV - 9,20;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;81,84;106,39;110,48;0;15/04/2025
48;;TUBO RET 60 X 40 P 0,95 GALV - 9,30;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;81,84;106,39;110,48;0;15/04/2025
49;;TUBO RET 60 X 40 P 1,11 GALV - 10,20;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;92,7;120,51;125,15;0;15/04/2025
50;;TUBO RET 60 X 40 P 1,25 GALV - 11,5 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;102,08;132,7;137,81;96;15/04/2025
53;;TUBO RET 70 X 30 P 1,11 GALV - 10,40 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;91,52;123,55;128,13;35;16/04/2025
56;;TUBO RET 80 X 40 P 1,11 GALV - 12,50;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;110;148,5;154;-1,5;16/04/2025
57;;TUBO RET 80 X 40 P 1,25 GALV - 14,1 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;122,32;165,13;171,25;30,5;16/04/2025
67;;TUBO QUA 20 X 20 P 0,90 - 3,3;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;23,1;32;32;0;16/04/2025
69;;TUBO QUA 20 X 20 P 1,20 - 4,40 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;34,32;44,62;46,33;108,5;16/04/2025
73;;TUBO QUA 25 X 25 P 1,20 - 5,6;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;42,9;55,77;57,92;0;16/04/2025
76;;TUBO QUA 30 X 30 P 1,20 - 6,8;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;51,48;66,92;69,5;0;16/04/2025
81;;TUBO RET 40 X 40 P 1,20 - 8,80;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;68,64;89,23;92,66;0;16/04/2025
82;;TUBO QUA 40 X 40 P 1,50 - 11,3 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;85,8;115,83;120,12;99;16/04/2025
83;;TUBO QUA 40 X 40 P 2,00 - 15,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;117;157,95;163,8;0;16/04/2025
86;;TUBO QUA 50 X 50 P 1,20 - 11,30;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;88,92;120,04;124,49;0;16/04/2025
87;;TUBO QUA 50 X 50 P 1,50 - 13,80 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;107,64;145,31;150,7;49,5;16/04/2025
88;;TUBO QUA 50 X 50 P 2,00 - 18,80;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;144,3;194,81;202,02;0;16/04/2025
92;;TUBO QUA 60 X 60 P 1,50 - 16,90 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;129,48;174,8;181,27;29;16/04/2025
96;;TUBO QUA 80 X 80 P 1,50 - 22,50 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;175,5;236,93;245,7;23;16/04/2025
97;;TUBO QUA 80 X 80 P 2,00 - 29,6;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;224,64;303,26;314,5;0;16/04/2025
101;;TUBO QUA 100 X 100 P 3,00 - 55,00 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;423,5;571,73;592,9;4,5;16/04/2025
122;;TUBO RET 50 X 30 P 2,00 - 14,5 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;113,1;147,03;152,69;47;16/04/2025
123;;TUBO RET 50 X 30 P 3,00 - 22,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;171,6;223,08;231,66;0;16/04/2025
133;;TUBO RET 80 X 40 P 1,20 - 13,50;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;105,3;142,16;147,42;0;16/04/2025
137;;TUBO RET 40 X 20 P 1,11 GALV - 6,2 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;52,8;68,64;71,28;76,5;17/04/2025
138;;ROLDANA 3 - V;ROLDANAS;8302.20.00;UN;27,3;40,95;40,95;28;17/04/2025
140;;TUBO RET 80 X 40 P 2,00 - 22,8;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;171,6;231,66;240,24;0;17/04/2025
142;;TUBO RET 100 X 40 P 1,20 - 15,50;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;120,9;163,22;169,26;0;17/04/2025
146;;TUBO RET 100 X 50 P 1,50 - 21;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;168,48;227,45;235,87;-1;17/04/2025
147;;TUBO RET 100 X 50 P 2,00 - 28,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;218,4;294,84;305,76;0;17/04/2025
149;;TUBO RET 150 X 50 P 1,50 - 28,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;218,4;305,76;316,68;-3;17/04/2025
150;;TUBO RET 150 X 50 P 2,00 - 37,6;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;293,28;410,59;425,26;0;17/04/2025
159;;TUBO RED 1 P 1,11 GALV - 4,00;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;35,2;47,52;49,28;0;17/04/2025
160;;TUBO RED 1 P 1,25 GALV - 4,50 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;39,6;53,46;55,44;85,5;17/04/2025
162;;TUBO RED 1 1/4 P 1,11 GALV - 5,00;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;44;59,4;61,6;-3;17/04/2025
163;;TUBO RED 1 1/4 P 1,25 GALV - 5,70 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;50,16;67,72;70,22;283;17/04/2025
166;;TUBO RED 1 1/2 P 1,11 GALV - 6,20;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;54,56;73,66;76,38;0;17/04/2025
167;;TUBO RED 1 1/2 P 1,25 GALV - 6,90 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;65,72;88,72;92,01;22;17/04/2025
168;;TUBO RED 1 1/2 P 1,55 GALV - 8,40 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;73,92;99,79;103,49;132,5;17/04/2025
170;;TUBO RED 1 1/2 P 1,05 GALV - 5,90 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;51,92;70,09;72,69;174;17/04/2025
171;;TUBO RED 2 P 1,25 GALV - 9,20 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;80,96;109,3;113,34;1,5;17/04/2025
172;;TUBO RED 2 P 1,55 GALV - 11,50;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;101,2;136,62;141,68;0;17/04/2025
174;;TUBO RED 2 1/2 P 1,25 GALV - 11,70;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;102,96;139;144,14;0;17/04/2025
175;;TUBO RED 2 1/2 P 1,55 GALV - 14,30;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;125,84;169,88;176,18;0;17/04/2025
177;;TUBO RED 3 P 1,25 GALV - 13,3 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;123,2;166,32;172,48;27,5;17/04/2025
178;;TUBO RED 3 P 1,55 GALV - 17,30;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;152,24;205,52;213,14;0;17/04/2025
179;;TUBO RED 4 P 1,25 GALV - 18,50;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;162,8;219,78;227,92;0;17/04/2025
180;;TUBO RED 4 P 1,55 GALV - 22,50;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;198;267,3;277,2;0;17/04/2025
214;;ROLDANA 4 - V;ROLDANAS;8302.20.00;UN;43,21;64,82;64,82;12;17/04/2025
223;;CHATO 1/2 X 1/8 P2,0/;CHATOS;7214.91.00;PC;14,4;20,16;20,88;-0,5;21/04/2025
224;;CHATO 5/8 X 1/8 - 2,4/;CHATOS;7214.91.00;BR;17,28;24,19;25,92;31;21/04/2025
225;;CHATO 3/4 X 1/8 P 2,9/;CHATOS;7214.91.00;BR;20,73;29,06;29,06;80;21/04/2025
226;;CHATO 7/8 X 1/8 - 3,4/;CHATOS;7214.91.00;BR;22,44;31,5;31,5;44;21/04/2025
227;;CHATO 1 X 1/8 P 3,8/;CHATOS;7214.91.00;BR;27,17;38,04;39,39;70;21/04/2025
228;;CHATO 1 1/4 X 1/8 P 4,8/;CHATOS;7214.91.00;BR;34,32;48,05;48,1;62,5;21/04/2025
229;;CHATO 1 1/2 X 1/8 - 5,7/;CHATOS;7214.91.00;BR;38,76;54,5;54,5;11,5;21/04/2025
230;;CHATO 2 X 1/8 P 7,7/;CHATOS;7214.91.00;BR;59,05;82,67;83,04;37,5;21/04/2025
231;;CHATO 1/2 X 3/16 - 2,9/;CHATOS;7214.91.00;BR;18,36;25,8;25,8;77;21/04/2025
233;;CHATO 3/4 X 3/16 - 4,3/;CHATOS;7214.91.00;BR;27,2;38,2;38,2;159;21/04/2025
234;;CHATO 7/8 X 3/16 - 5/;CHATOS;7214.91.00;BR;31,96;44,8;44,8;25;21/04/2025
235;;CHATO 1 X 3/16 - 5,7/;CHATOS;7214.91.00;BR;37,4;51,7;51,7;38;21/04/2025
236;;CHATO 1 1/4 X 3/16 - 7,2/;CHATOS;7214.91.00;BR;44,2;61;61;73,5;21/04/2025
0;;CHATO 1 1/2 X 3/16 - 8,6/;CHATOS;7214.91.00;BR;59,84;82,6;82,6;152,5;21/04/2025
238;;CHATO 2 X 3/16 - 11,4/;CHATOS;7214.91.00;BR;74,8;103,5;103,5;130,5;21/04/2025
241;;CHATO 3/4 X 1/4 - 5,7/;CHATOS;7214.91.00;BR;36,72;50,7;50,7;40;21/04/2025
243;;CHATO 1 X 1/4 - 7,7/;CHATOS;7214.91.00;BR;50,32;69,5;69,5;103;21/04/2025
244;;CHATO 1 1/4 X 1/4 - 9,5/;CHATOS;7214.91.00;BR;61,2;84,5;84,5;137,5;21/04/2025
246;;CHATO 2 X 1/4 - 15,2;CHATOS;7214.91.00;BR;102;141;141;0;21/04/2025
251;;REDONDO C 12MM;PERFIS E CANTONEIRAS;7214.99.10;BR;38,08;52,6;52,6;0;21/04/2025
256;;CANTONEIRA 1/2 X 1/8 - P 3,4/;PERFIS E CANTONEIRAS;7216.21.00;BR;24,31;34,03;35,25;51;21/04/2025
257;;CANTONEIRA 5/8 X 1/8 - 4,3/;PERFIS E CANTONEIRAS;7216.21.00;BR;51,79;51,79;51,79;27;21/04/2025
259;;CANTONEIRA 7/8 X 1/8 - 6,2/;PERFIS E CANTONEIRAS;7216.21.00;BR;62,61;62,61;62,61;109;21/04/2025
260;;CANTONEIRA 1 X 1/8 - 7,2/;PERFIS E CANTONEIRAS;7216.21.00;BR;70,02;70,02;70,02;139,5;21/04/2025
261;;CANTONEIRA 1 1/4 X 1/8 - 9,2/;PERFIS E CANTONEIRAS;7216.21.00;BR;89,67;89,67;89,67;3,5;21/04/2025
262;;CANTONEIRA 1 1/2 X 1/8 - 11/;PERFIS E CANTONEIRAS;7216.21.00;BR;106,98;106,98;106,98;121;21/04/2025
263;;CANTONEIRA 2 X 1/8 - 14,8;PERFIS E CANTONEIRAS;7216.21.00;BR;178,33;178,33;178,33;-0,5;21/04/2025
264;;CANTONEIRA 1 X 3/16 - 10,4/;PERFIS E CANTONEIRAS;7216.21.00;BR;101,15;101,15;101,15;23;21/04/2025
267;;CANTONEIRA 2 X 3/16 - 21,8/;PERFIS E CANTONEIRAS;7216.21.00;BR;246,13;246,13;246,13;10,5;21/04/2025
268;;CANTONEIRA 2 1/2 X 3/8;PERFIS E CANTONEIRAS;7216.21.00;BR;360,4;500;500;0;21/04/2025
269;;CANTONEIRA 1 X 1/4 - 13,3/;PERFIS E CANTONEIRAS;7216.21.00;BR;93,84;129,5;129,5;58;21/04/2025
270;;CANTONEIRA 1 1/4 X 1/4 - 17,2/;PERFIS E CANTONEIRAS;7216.21.00;BR;199,59;199,59;199,59;43;21/04/2025
272;;CANTONEIRA 2 X 1/4 - 28,9/;PERFIS E CANTONEIRAS;7216.21.00;BR;326,31;326,31;326,31;11,5;21/04/2025
273;;CANTONEIRA 2 1/2 X 1/4 - 36,5/;PERFIS E CANTONEIRAS;7216.21.00;BR;439;439;439;3;21/04/2025
274;;TE 3/4 X 1/8 - 5,2;PERFIS E CANTONEIRAS;7216.22.00;BR;44,23;61;61;21,5;21/04/2025
275;;TE 7/8 X 1/8 - 6,0;PERFIS E CANTONEIRAS;7216.22.00;BR;59,04;79,7;82,66;10;21/04/2025
276;;TE 1 X 1/8 - 7,1/;PERFIS E CANTONEIRAS;7216.22.00;BR;70,29;94,89;98,41;0;21/04/2025
277;;TE 11/4 X 1/8 - 9;PERFIS E CANTONEIRAS;7216.22.00;BR;112,5;151,88;157,5;25;21/04/2025
278;;VIGA U SIMPLES 2 X 2,00 - P 8,90;PERFIS E CANTONEIRAS;7216.61.10;BR;52,15;70,4;73,01;-3;21/04/2025
282;;VIGA U SIMPLES 3 X 2,00 - P 14,0;PERFIS E CANTONEIRAS;7216.61.10;BR;82,04;106,65;110,75;8,5;21/04/2025
283;;VIGA U SIMPLES 3 X 2,65 - P 18,0/;PERFIS E CANTONEIRAS;7216.91.00;BR;103,5;134,55;139,73;59;21/04/2025
284;;VIGA U SIMPLES 3 X 3,00 - P 20,3/;PERFIS E CANTONEIRAS;7216.61.10;BR;116,72;151,74;157,57;14,5;21/04/2025
286;;VIGA U SIMPLES 4 X 2,65 - P 21,3/;PERFIS E CANTONEIRAS;7216.61.10;BR;122,47;165,33;171,46;43;21/04/2025
287;;VIGA U SIMPLES 4 X 3,00 - P 24,2/;PERFIS E CANTONEIRAS;7216.61.10;BR;139,15;180,9;187,85;33;21/04/2025
288;;VIGA U SIMPLES 5 X 3,0 - P 30,7/;PERFIS E CANTONEIRAS;7216.61.10;BR;173,53;225,59;234,27;23;21/04/2025
290;;VIGA U SIMPLES 6 X 3,0 - P 34,1/;PERFIS E CANTONEIRAS;7216.61.10;BR;196,07;254,89;264,69;16,5;21/04/2025
292;;VIGA U SIMPLES 8 X 3,00 - P 42,0/;PERFIS E CANTONEIRAS;7216.61.10;BR;241,5;326,03;338,1;24;21/04/2025
295;;VIGA U ENRIJECIDA 3 X 2,65 - P 20,68/;PERFIS E CANTONEIRAS;7216.61.10;BR;118,91;160,53;154,58;26,5;21/04/2025
296;;VIGA U ENRIJECIDA 4 X 2,25 - P 20,8;PERFIS E CANTONEIRAS;7216.61.10;BR;119,6;161,46;167,44;0;21/04/2025
297;;VIGA U ENRIJECIDA 4 X 2,65 - P 24,6;PERFIS E CANTONEIRAS;7216.61.10;BR;141,45;199;199;0;21/04/2025
298;;VIGA U ENRIJECIDA 5 X 2,25 - P 25,8;PERFIS E CANTONEIRAS;7216.61.10;BR;148,35;213,7;213,7;0;21/04/2025
299;;VIGA U ENRIJECIDA 5 X 2,65 - P 30,2;PERFIS E CANTONEIRAS;7216.61.10;BR;173,65;234,43;243,11;0;21/04/2025
300;;VIGA U ENRIJECIDA 6 X 2,25 - P 31,0;PERFIS E CANTONEIRAS;7216.61.10;BR;178,25;240,64;249,55;0;21/04/2025
301;;VIGA U ENRIJECIDA 8 X 2,65 - P 42,5;PERFIS E CANTONEIRAS;7216.61.10;BR;244,37;329,9;342,12;0;21/04/2025
302;;VIGA U LAMINADA 3 PRI;PERFIS E CANTONEIRAS;7216.61.10;BR;289,14;400;400;0;21/04/2025
303;;VIGA U LAMINADA 3 SEG;PERFIS E CANTONEIRAS;7216.61.10;BR;355,5;490;490;0;21/04/2025
304;;VIGA U LAMINADA 4 PRI;PERFIS E CANTONEIRAS;7216.61.10;BR;383,15;530;530;0;21/04/2025
305;;VIGA U LAMINADA 4 SEG;PERFIS E CANTONEIRAS;7216.61.10;BR;442,4;610;610;0;21/04/2025
306;;VIGA U LAMINADA 6 PRI;PERFIS E CANTONEIRAS;7216.61.10;BR;580,65;805;805;0;21/04/2025
307;;VIGA U LAMINADA 6 SEG;PERFIS E CANTONEIRAS;7216.61.10;BR;742,6;1025;1025;0;21/04/2025
308;;ROLDANA 5 - V;ROLDANAS;8302.20.00;UN;84,5;126,75;126,75;6;22/04/2025
309;;TELHA TRAP 40 X 043 C/ 2000;TELHAS;6811.82.00;UN;61,8;84;84;0;22/04/2025
310;;TELHA TRAP 40 X 043 C/ 2500;TELHAS;6811.82.00;UN;77,25;104,5;104,5;0;22/04/2025
311;;TELHA TRAP 40 X 043 C/ 3000;TELHAS;6811.82.00;UN;92,7;125,5;125,5;9;22/04/2025
312;;TELHA TRAP 40 X 043 C/ 3500;TELHAS;6811.82.00;UN;108,15;146;146;0;22/04/2025
313;;TELHA TRAP 40 X 043 C/ 4000;TELHAS;6811.82.00;UN;123,6;167;167;6;22/04/2025
314;;TELHA TRAP 40 X 043 C/ 4500;TELHAS;6811.82.00;UN;139,05;188;188;0;22/04/2025
315;;TELHA TRAP 40 X 043 C/ 5000;TELHAS;6811.82.00;UN;154,5;209;209;2;22/04/2025
316;;TELHA TRAP 40 X 043 C/ 5500;TELHAS;6811.82.00;UN;169,95;230;230;10;22/04/2025
317;;TELHA TRAP 40 X 043 C/ 6000;TELHAS;6811.82.00;UN;185,4;250,5;250,5;0;22/04/2025
318;;TELHA TRAP 40 X 043 C/ 6500;TELHAS;6811.82.00;UN;200,85;272;272;0;22/04/2025
319;;TELHA TRAP 40 X 043 C/ 7000;TELHAS;6811.82.00;UN;216,3;292;292;0;22/04/2025
320;;KIT BASC 150 X 2500 CH 18 GALV - 51;KITS BASCULANTE;7216.91.00;UN;459;619,65;642,6;-3;22/04/2025
321;;KIT BASC 150 X 3000 CH 16 GALV - 74,6;KITS BASCULANTE;7216.91.00;UN;671,4;906,39;939,96;3;22/04/2025
323;;KIT BASC 180 X 3000 CH 16 GALV - 81,8;KITS BASCULANTE;7216.91.00;UN;736,2;993,87;1030,68;1;22/04/2025
324;;KIT BASC 200 X 2500 CH 16 GALV - 82,5;KITS BASCULANTE;7216.91.00;UN;742,5;1002,38;1039,5;1;22/04/2025
325;;KIT BASC 200 X 3000 CH 16 GALV - 94;KITS BASCULANTE;7216.91.00;UN;846;1142,1;1184,4;0;22/04/2025
326;;QUADRADO 3/8 - 4,3/;PERFIS E CANTONEIRAS;7214.99.90;BR;44,05;44,05;44,05;10,5;22/04/2025
327;;QUADRADO 1/2 - 7,7/;PERFIS E CANTONEIRAS;7214.99.90;BR;68,97;68,97;68,97;24,5;22/04/2025
328;;QUADRADO 5/8 - 11,9/;PERFIS E CANTONEIRAS;7214.99.90;BR;103,77;103,77;103,77;22;22/04/2025
329;;QUADRADO 3/4 - 17,1;PERFIS E CANTONEIRAS;7214.99.90;BR;177,36;177,36;177,36;0;22/04/2025
330;;QUADRADO 7/8 - 23,3;PERFIS E CANTONEIRAS;7214.99.90;BR;241,72;241,72;241,72;0;22/04/2025
331;;QUADRADO 1 - 30,4;PERFIS E CANTONEIRAS;7214.99.90;BR;315,4;315,4;315,4;0;22/04/2025
332;;VIGA I 3 PRIM ALMA ;PERFIS E CANTONEIRAS;7216.32.00;BR;418,7;586,5;586,5;0;22/04/2025
333;;VIGA I 3 SEG ALMA;PERFIS E CANTONEIRAS;7216.32.00;BR;466,1;653;653;0;22/04/2025
334;;VIGA I 4 PRIM ALMA;PERFIS E CANTONEIRAS;7216.32.00;BR;545,1;765;765;3;22/04/2025
335;;VIGA I 4 SEG ALMA;PERFIS E CANTONEIRAS;7216.32.00;BR;524,4;735;735;0;22/04/2025
336;;VIGA I 5 PRIM ALMA;PERFIS E CANTONEIRAS;7216.32.00;BR;711;995;995;0;22/04/2025
337;;VIGA I 5 SEG ALMA;PERFIS E CANTONEIRAS;7216.32.00;BR;869;1220;1220;0;22/04/2025
338;;VIGA I 6 PRIM ALMA;PERFIS E CANTONEIRAS;7216.32.00;BR;884,8;1240;1240;0;22/04/2025
339;;VIGA I 6 SEG ALMA;PERFIS E CANTONEIRAS;7216.32.00;BR;1050,7;1471;1471;0;22/04/2025
340;;ROLDANA 1 1/2 - V COM CAIXA;ROLDANAS;8302.20.00;UN;14,49;21,74;21,74;0;22/04/2025
341;;ROLDANA 2 - V COM CAIXA;ROLDANAS;8302.20.00;UN;17,85;26,78;26,78;3;22/04/2025
342;;ROLDANA 2 - V COM CAIXA ABERTA;ROLDANAS;8302.20.00;UN;23,98;35,97;35,97;0;22/04/2025
343;;ROLDANA 2 1/2 - V;ROLDANAS;8302.20.00;UN;19,11;28,67;28,67;19;22/04/2025
344;;ROLDANA 2 1/2 - V COM CAIXA;ROLDANAS;8302.20.00;UN;23,98;35,97;35,97;21;22/04/2025
345;;ROLDANA 2 1/2 - V COM CAIXA ABERTA;ROLDANAS;8302.20.00;UN;17,85;26,78;26,78;16;22/04/2025
346;;ROLDANA 3 - V COM CAIXA;ROLDANAS;8302.20.00;UN;31,27;46,91;46,91;-8;22/04/2025
347;;ROLDANA 3 - V COM CAIXA ABERTA;ROLDANAS;8302.20.00;UN;31,27;46,91;46,91;12;22/04/2025
348;;ROLDANA 4 - V COM CAIXA;ROLDANAS;8302.20.00;UN;47,99;71,99;71,99;-1;22/04/2025
349;;ROLDANA 6 - V;ROLDANAS;8302.20.00;UN;129;193,5;193,5;3;22/04/2025
350;;ROLDANA 1 1/2 - MEIA CANA EIXO E ROLAMENTO;ROLDANAS;8302.20.00;UN;10,06;15,09;15,09;0;22/04/2025
351;;ROLDANA 1 1/2 - MEIA CANA COM CAIXA;ROLDANAS;8302.20.00;UN;14,49;21,74;21,74;0;22/04/2025
352;;ROLDANA 2 MEIA CANA;ROLDANAS;8302.20.00;UN;14,82;22,23;22,23;17;22/04/2025
353;;ROLDANA 2 - MEIA CANA COM CAIXA;ROLDANAS;8302.20.00;UN;17,85;26,78;26,78;15;22/04/2025
354;;ROLDANA 2 - MEIA CANA COM CAIXA ABERTA;ROLDANAS;8302.20.00;UN;23,98;35,97;35,97;32;22/04/2025
